inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
KLH014a,KLH014a_0001,ā,4,0.13448769929674143,80.28829316825279,80.42278086754953,h,n,0,hānau,2,80.1589218488206,80.72318545673953,-,wau,,
KLH014a,KLH014a_0002,au,6,0.195884257671338,80.52730119906819,80.72318545673953,n,w,0,hānau,2,80.1589218488206,80.72318545673953,-,wau,,
KLH014a,KLH014a_0003,au,8,0.1995388147174424,80.79116021779713,80.99069903251457,w,sp,0,wau,3,80.72318545673953,80.99069903251457,hānau,-,,
KLH014a,--,i,10,0.16006959861948644,81.69291550442495,81.85298510304443,sp,sp,1,i,5,81.69291550442495,81.85298510304443,-,-,,disfl
KLH014a,KLH014a_0004,ai,13,0.18711332076068743,82.09784042513361,82.2849537458943,m,sp,0,mai,7,81.99697465066106,82.2849537458943,-,-,,
KLH014a,--,ai,16,0.2675135757750411,82.49773733388152,82.76525090965656,w,sp,1,wai,9,82.34497684935424,82.76525090965656,-,-,,disfl
KLH014a,KLH014a_0005,ai,19,0.16445506707481172,82.95236423041725,83.11681929749206,w,n,0,wainiha,11,82.88073491231354,83.48786820445089,-,-,,
KLH014a,KLH014a_0006,i,21,0.09988077413767371,83.24180514846893,83.3416859226066,n,h,0,wainiha,11,82.88073491231354,83.48786820445089,-,-,,
KLH014a,KLH014a_0007,a,23,0.08405481206045806,83.40381339239043,83.48786820445089,h,sp,0,wainiha,11,82.88073491231354,83.48786820445089,-,-,,
KLH014a,KLH014a_0008,au,26,0.18199694089612706,83.92933869562063,84.11133563651676,k,a,0,kauaʻi,13,83.81677833860053,84.24289969017661,-,-,,
KLH014a,KLH014a_0009,a,27,0.059934735556154806,84.11133563651676,84.17127037207291,au,ʻ,0,kauaʻi,13,83.81677833860053,84.24289969017661,-,-,,
KLH014a,--,i,29,0.005116379864546161,84.23778331031207,84.24289969017661,ʻ,sp,1,kauaʻi,13,83.81677833860053,84.24289969017661,-,-,,
KLH014a,KLH014a_0010,au,32,0.1396040791612876,86.34989765876207,86.48950173792336,k,a,0,kauaʻi,15,86.2711,86.64737860231519,-,-,,
KLH014a,KLH014a_0011,a,33,0.0825929892420163,86.48950173792336,86.57209472716538,au,ʻ,0,kauaʻi,15,86.2711,86.64737860231519,-,-,,
KLH014a,--,i,35,0.004385468455325281,86.64299313385986,86.64737860231519,ʻ,-,1,kauaʻi,15,86.2711,86.64737860231519,-,-,,
KLH014a,KLH014a_0012,a,38,0.07016749528524713,89.33663226681104,89.40679976209628,h,n,0,hanalei,17,89.22334099838172,89.72913169356293,-,kalana,,
KLH014a,KLH014a_0013,a,40,0.07674569796824926,89.48354546006453,89.56029115803278,n,l,0,hanalei,17,89.22334099838172,89.72913169356293,-,kalana,,
KLH014a,KLH014a_0014,ei,42,0.0716293181037031,89.65750237545923,89.72913169356293,l,k,0,hanalei,17,89.22334099838172,89.72913169356293,-,kalana,,
KLH014a,KLH014a_0015,a,44,0.06448060714032522,89.86361939285968,89.9281,k,l,0,kalana,18,89.72913169356293,90.21566460317875,hanalei,ʻo,,
KLH014a,KLH014a_0016,a,46,0.07309114092213065,90.00150756027688,90.07459870119901,l,n,0,kalana,18,89.72913169356293,90.21566460317875,hanalei,ʻo,,
KLH014a,KLH014a_0017,a,48,0.05756460317874712,90.1581,90.21566460317875,n,ʻ,0,kalana,18,89.72913169356293,90.21566460317875,hanalei,ʻo,,
KLH014a,KLH014a_0018,o,50,0.10890579997399641,90.24563197095682,90.35453777093082,ʻ,h,0,ʻo,19,90.21566460317875,90.35453777093082,kalana,hanalei,,
KLH014a,KLH014a_0019,a,52,0.0641145078154608,90.4081,90.47221450781547,h,n,0,hanalei,20,90.35453777093082,90.80989557887577,ʻo,-,,
KLH014a,KLH014a_0020,a,54,0.0635892926022592,90.55992387692204,90.6235131695243,n,l,0,hanalei,20,90.35453777093082,90.80989557887577,ʻo,-,,
KLH014a,KLH014a_0021,ei,56,0.09179557887576095,90.7181,90.80989557887577,l,-,0,hanalei,20,90.35453777093082,90.80989557887577,ʻo,-,,
KLH014a,KLH014a_0022,ai,59,0.1695714469393721,101.9164795580848,102.08605100502417,sil,a,0,aia,22,101.9164795580848,102.08970556207028,-,ma,,
KLH014a,--,a,60,0.003654557046104401,102.08605100502417,102.08970556207028,ai,m,1,aia,22,101.9164795580848,102.08970556207028,-,ma,,
KLH014a,KLH014a_0023,a,62,0.16810962412093033,102.22492417277624,102.39303379689717,m,w,0,ma,23,102.08970556207028,102.39303379689717,aia,waena,,
KLH014a,KLH014a_0024,ae,64,0.24021576470818218,102.47928134318529,102.71949710789347,w,n,0,waena,24,102.39303379689717,102.89491584610663,ma,-,,
KLH014a,KLH014a_0025,a,66,0.06724384964837782,102.82767199645825,102.89491584610663,n,sp,0,waena,24,102.39303379689717,102.89491584610663,ma,-,,
KLH014a,KLH014a_0026,o,68,0.3164846401928827,103.38901276355483,103.70549740374771,sp,h,0,o,26,103.38901276355483,103.70549740374771,-,hanalei,,
KLH014a,KLH014a_0027,a,70,0.07309114092214486,103.83413781177067,103.90722895269282,h,n,0,hanalei,27,103.70549740374771,104.38378319150519,o,-,,
KLH014a,KLH014a_0028,a,72,0.0591216526991758,104.00297834730083,104.0621,n,l,0,hanalei,27,103.70549740374771,104.38378319150519,o,-,,
KLH014a,KLH014a_0029,ei,74,0.22512071404020162,104.15866247746499,104.38378319150519,l,sp,0,hanalei,27,103.70549740374771,104.38378319150519,o,-,,
KLH014a,KLH014a_0030,o,77,0.08175160833877726,106.61734839166122,106.6991,-,l,0,o,29,106.61734839166122,106.6991,-,lumahaʻi,,
KLH014a,KLH014a_0031,u,79,0.053356532873166884,106.78984348423748,106.84320001711065,l,m,0,lumahaʻi,30,106.6991,107.24958676063775,o,-,,
KLH014a,KLH014a_0032,a,81,0.0752838751498075,106.94333488017398,107.01861875532379,m,h,0,lumahaʻi,30,106.6991,107.24958676063775,o,-,,
KLH014a,KLH014a_0033,a,83,0.0606656469653899,107.09974992174736,107.16041556871275,h,ʻ,0,lumahaʻi,30,106.6991,107.24958676063775,o,-,,
KLH014a,KLH014a_0034,i,85,0.054087444282387764,107.19549931635537,107.24958676063775,ʻ,-,0,lumahaʻi,30,106.6991,107.24958676063775,o,-,,
KLH014a,KLH014a_0035,e,88,0.09012229023507246,108.00497770976493,108.0951,m,h,0,me,32,107.91069013797537,108.0951,-,hāʻena,,
KLH014a,KLH014a_0036,ā,90,0.08716167820061571,108.19793832179938,108.2851,h,ʻ,0,hāʻena,33,108.0951,108.55023762104412,me,-,,
KLH014a,KLH014a_0037,e,92,0.09136392615266686,108.35654609760044,108.44791002375311,ʻ,n,0,hāʻena,33,108.0951,108.55023762104412,me,-,,
KLH014a,--,a,94,0.0029236456368977315,108.54731397540722,108.55023762104412,n,sp,1,hāʻena,33,108.0951,108.55023762104412,me,-,,
KLH014a,KLH014a_0038,o,97,0.055549267100829525,114.78858484803008,114.84413411513091,ʻ,k,0,ʻo,35,114.7461,114.84413411513091,-,koʻu,,
KLH014a,KLH014a_0039,o,99,0.04312377314406035,114.97204361174467,115.01516738488873,k,ʻ,0,koʻu,36,114.84413411513091,115.08533488017397,ʻo,makua,,
KLH014a,KLH014a_0040,u,101,0.057742001328492165,115.02759287884548,115.08533488017397,ʻ,m,0,koʻu,36,114.84413411513091,115.08533488017397,ʻo,makua,,
KLH014a,KLH014a_0041,a,103,0.042373804989452424,115.18616765017573,115.22854145516519,m,k,0,makua,37,115.08533488017397,115.47170190533548,koʻu,kāne,,
KLH014a,KLH014a_0042,u,105,0.07692475367318252,115.3660933452079,115.44301809888108,k,a,0,makua,37,115.08533488017397,115.47170190533548,koʻu,kāne,,
KLH014a,--,a,106,0.02868380645439572,115.44301809888108,115.47170190533548,u,k,1,makua,37,115.08533488017397,115.47170190533548,koʻu,kāne,,
KLH014a,KLH014a_0043,ā,108,0.14276712757987298,115.60641956297196,115.74918669055184,k,n,0,kāne,38,115.47170190533548,115.94084667004263,makua,-,,
