"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_length"
"1","AA","KLH057a_3660","halihali","halihali1475.585","a","-4",4,"secondary","Secondary Stressed",1,"short",153.89699925,156.519823202849,80.7,60.298113,4.09930080971115,-0.664981733746593,0.0943922929494274,"-4.short"
"2","AA","KLH057a_3662","halihali","halihali1475.585","a","-2",4,"primary","Primary Stressed",1,"short",165.777589444444,167.839161126094,80.95,62.42108,4.1339030388397,-0.866201641841766,0.401899227519344,"-2.short"
"3","DK","KLH063c_0340","hapahapa","hapahapa180.6988","a","-4",4,"secondary","Secondary Stressed",1,"short",109.158417,111.135276701562,74.5,62.4274322817087,4.13400479867004,-0.15863790265244,0.224289689553856,"-4.short"
"4","DK","KLH063c_0342","hapahapa","hapahapa180.6988","a","-2",4,"primary","Primary Stressed",1,"short",59.300873,NA,70.85,63.9528866501848,4.15814666618023,-0.286351202303791,0.182446724618759,"-2.short"
"5","HM","KLH021a_0080","haʻalele","haʻalele152.663437873928","a","-4",4,"secondary","Secondary Stressed",1,"short",141.985705333333,142.404734174126,78.9,59.2936871455834,4.08250284410719,-0.423314952993919,0.0936328549143779,"-4.short"
"6","HM","KLH021a_0082","haʻalele","haʻalele152.663437873928","e","-2",4,"primary","Primary Stressed",1,"short",145.5499589,144.108856355206,79.85,59.991259935515,4.09419888387011,-0.894463689823343,0.44356853670904,"-2.short"
"7","DK","KLH063a_0595","haʻalele","haʻalele317.881729652191","a","-4",4,"secondary","Secondary Stressed",1,"short",137.918254875,138.11817577562,75.4,63.0258781298494,4.14354540601697,-0.39142955453582,0.0980359331603866,"-4.short"
"8","DK","KLH063a_0597","haʻalele","haʻalele317.881729652191","e","-2",4,"primary","Primary Stressed",1,"short",126.912652363636,123.335707085774,72.2,75.9441993535575,4.32999885158339,-0.930059728060953,0.461112290497563,"-2.short"
"9","DK","KLH063a_0626","haʻalele","haʻalele324.985","a","-4",4,"secondary","Secondary Stressed",1,"short",62.91013,100.466250877019,76.3,57.7150297035587,4.055517619726,-0.399541361071197,0.0932690480135214,"-4.short"
"10","DK","KLH063a_0628","haʻalele","haʻalele324.985","e","-2",4,"primary","Primary Stressed",1,"short",115.608034,112.295992223947,71.5,66.2653702066791,4.19366744107745,-1.02871579137146,0.498194316612074,"-2.short"
"11","SB","KLH033b_0529","haʻalele","haʻalele329.001322409972","a","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,61.2,42.9233620747596,3.75941624821648,-0.343246024236537,0.284481026986955,"-4.short"
"12","SB","KLH033b_0531","haʻalele","haʻalele329.001322409972","e","-2",4,"primary","Primary Stressed",1,"short",148.951389636364,148.805262004518,66.3,79.5079545281396,4.37585707361265,-0.95807499888202,0.597638842517935,"-2.short"
"13","SB","KLH033b_0625","haʻalele","haʻalele372.908172416225","a","-4",4,"secondary","Secondary Stressed",1,"short",NA,102.705563613449,59.5,39.4770079014961,3.67571842399051,-0.562787310926263,0.252930398256392,"-4.short"
"14","SB","KLH033b_0627","haʻalele","haʻalele372.908172416225","e","-2",4,"primary","Primary Stressed",1,"short",138.370989214286,138.937260488395,65.7,80.4161272067176,4.38721474321824,-1.05340563506822,0.572303323428339,"-2.short"
"15","IN","KLH013b_0415","haʻalele","haʻalele407.913468704452","a","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,63.35,35.503344544054,3.56962690455221,-0.508719373405948,0.198377789562035,"-4.short"
"16","IN","KLH013b_0417","haʻalele","haʻalele407.913468704452","e","-2",4,"primary","Primary Stressed",1,"short",NA,NA,68.5,58.2089718687371,4.06403949867683,-1.11454443461026,0.51004356974273,"-2.short"
"17","DK","KLH063a_0906","haʻalele","haʻalele421.931987624093","a","-4",4,"secondary","Secondary Stressed",1,"short",127.238473454545,127.856462172278,74,84.7214288104965,4.43936856624178,-0.326394234535477,0.184863884011277,"-4.short"
"18","DK","KLH063a_0908","haʻalele","haʻalele421.931987624093","e","-2",4,"primary","Primary Stressed",1,"short",160.369707285714,159.64428077176,75,49.9999999999545,3.91202300542724,-0.934133501930466,0.423340420653933,"-2.short"
"19","DK","KLH063a_0960","haʻalele","haʻalele436.688347007132","a","-4",4,"secondary","Secondary Stressed",1,"short",115.242711,118.211954978074,69,51.7742064952813,3.94689208114356,-0.33994392163189,0.196114853672772,"-4.short"
"20","DK","KLH063a_0962","haʻalele","haʻalele436.688347007132","e","-2",4,"primary","Primary Stressed",1,"short",125.758915111111,123.02794485497,68,62.1290477943717,4.12921363793807,-1.07462386487929,0.492223518709351,"-2.short"
"21","DK","KLH063a_1565","haʻalele","haʻalele689.597","a","-4",4,"secondary","Secondary Stressed",1,"short",115.1436,NA,72.85,58.7898305902854,4.07396889080235,-0.286351202303791,0.17748591202628,"-4.short"
"22","DK","KLH063a_1567","haʻalele","haʻalele689.597","e","-2",4,"primary","Primary Stressed",1,"short",120.938654333333,121.061750892745,69.1,45.6099291177452,3.8201254366278,-1.12996157291683,0.462696514149758,"-2.short"
"23","HM","KLH021b_0161","haʻalele","haʻalele93.0855139311738","a","-4",4,"secondary","Secondary Stressed",1,"short",112.1580285,110.219895211344,63.9,60.6377960455973,4.10491839577912,-0.483795656346457,0.0907573137693625,"-4.short"
"24","HM","KLH021b_0163","haʻalele","haʻalele93.0855139311738","e","-2",4,"primary","Primary Stressed",1,"short",112.157750555556,112.264726097681,65.7,64.7588113108242,4.17066977334178,-0.919706979382918,0.466702014625274,"-2.short"
"25","AA","KLH057b_1143","heleleʻi","heleleʻi1672.365483","e","-4",4,"secondary","Secondary Stressed",1,"short",153.658539,138.341023643539,79.7,32.335097,3.47615323473943,-0.875659357268898,0.421039342561591,"-4.short"
"26","AA","KLH057b_1145","heleleʻi","heleleʻi1672.365483","e","-2",4,"primary","Primary Stressed",1,"short",NA,NA,76.1,36.293687,3.59164381430066,-0.919791218793059,0.62216777398806,"-2.short"
"27","HM","KLH021a_0776","heluhelu","heluhelu494.474660294304","e","-4",4,"secondary","Secondary Stressed",1,"short",122.95846225,126.521528531767,75.5,72.6085338039297,4.28508246043149,-1.09042581195492,0.45090271132908,"-4.short"
"28","HM","KLH021a_0778","heluhelu","heluhelu494.474660294304","e","-2",4,"primary","Primary Stressed",1,"short",30.2387697142857,129.385569930923,74.4,72.2440506484077,4.28004997963542,-0.834062656604821,0.365808302468919,"-2.short"
"29","SB","KLH033e_0219","honolulu","honolulu120.367201037552","o","-4",4,"secondary","Secondary Stressed",1,"short",233.4941605625,232.423916435323,72.9,96.289407244214,4.56735831528989,-0.92944112409564,0.0857765911539312,"-4.short"
"30","SB","KLH033e_0221","honolulu","honolulu120.367201037552","u","-2",4,"primary","Primary Stressed",1,"short",216.3904893,216.427063209757,69.95,61.9982022789145,4.12710538912333,-1.16884275217728,0.123100686040239,"-2.short"
"31","LV","KLH032a_2977","honolulu","honolulu1221.51025342447","o","-4",4,"secondary","Secondary Stressed",1,"short",148.787401125,145.551579502087,66.4,60.0000000001728,4.09434456222498,-1.4695949040554,-0.510803871502493,"-4.short"
"32","LV","KLH032a_2979","honolulu","honolulu1221.51025342447","u","-2",4,"primary","Primary Stressed",1,"short",156.414003714286,155.628389440311,66.4,60.1646345062363,4.0970847130148,-1.33650845025913,0.172058679495044,"-2.short"
"33","SB","KLH033b_0512","honolulu","honolulu311.3798","o","-4",4,"secondary","Secondary Stressed",1,"short",187.9778411,184.257234315192,68.45,74.2548147586035,4.30750262081416,-1.31839485386704,-0.205898847041545,"-4.short"
"34","SB","KLH033b_0514","honolulu","honolulu311.3798","u","-2",4,"primary","Primary Stressed",1,"short",182.820216111111,182.671989355536,70.9,60.2026675853722,4.0977166633824,-1.31356710694368,0.152028746897177,"-2.short"
"35","RM","KLH014b_0070","honolulu","honolulu39.2984175364572","o","-4",4,"secondary","Secondary Stressed",1,"short",199.2827133,198.431306148496,73.7,82.0831558653339,4.40773282933506,-0.894595335232125,-0.308251325064467,"-4.short"
"36","RM","KLH014b_0072","honolulu","honolulu39.2984175364572","u","-2",4,"primary","Primary Stressed",1,"short",206.93332295,205.666568849303,70.65,111.331176920793,4.7125093351461,-1.27566088478532,-0.0312533302951516,"-2.short"
"37","LV","KLH032a_2356","hoʻihoʻi","hoʻihoʻi1032.00216643921","o","-4",4,"secondary","Secondary Stressed",1,"short",129.705887,132.461727424061,65.8,38.6231391014462,3.65385155545395,-0.953091479372726,0.046665783524519,"-4.short"
"38","LV","KLH032a_2358","hoʻihoʻi","hoʻihoʻi1032.00216643921","o","-2",4,"primary","Primary Stressed",1,"short",153.129855090909,155.144413131469,68.7,73.0218723635971,4.29075901769,-0.985456763874757,0.280069023776344,"-2.short"
"39","DK","KLH063c_0282","hoʻihoʻi","hoʻihoʻi152.7828","o","-4",4,"secondary","Secondary Stressed",1,"short",148.111141,155.035451457756,77.8,32.8857243920595,3.49303865454961,-0.776552826764719,0.0570403397546588,"-4.short"
"40","DK","KLH063c_0284","hoʻihoʻi","hoʻihoʻi152.7828","o","-2",4,"primary","Primary Stressed",1,"short",129.248011888889,131.550349269595,75.3,65.9286789578459,4.18857353588284,-1.19467903294725,-0.0994128277070327,"-2.short"
"41","AA","KLH057b_1865","hoʻihoʻi","hoʻihoʻi2033.210318","o","-4",4,"secondary","Secondary Stressed",1,"short",116.4403095,113.586250808943,74.85,80,4.38202663467388,-0.981228456126104,-0.236253573804102,"-4.short"
