Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
SB,haku183.470189254047,a,-2,2,primary,Primary Stressed,1,short,241.9046143,236.720703858122,68.5,68.5336527416496,-2.6804303734529147,-4.49363237986056e-4,0.430518037681114
SB,haku183.470189254047,u,-1,2,unstressed,Final Unstressed,1,short,204.8881005,204.04314718792,69.3,117.052866130649,-2.1451295989661143,-1.45740916553692,0.0573587396243598
HM,haku19.2521482686873,a,-2,2,primary,Primary Stressed,1,short,118.822092538462,120.887835877791,69.8,83.0258221822966,-2.4886036089403367,-0.557544425926022,0.169961770159321
HM,haku19.2521482686873,u,-1,2,unstressed,Final Unstressed,1,short,98.6470588571429,100.380408184557,67.9,92.8839301558249,-2.3764046281485274,-1.29191272294327,-0.170280673962547
DK,haku310.742999700263,a,-2,2,primary,Primary Stressed,1,short,135.77792675,136.929470302156,82.5,77.1830859583815,-2.5615749397593084,-0.315756472115926,0.174868870695463
DK,haku310.742999700263,u,-1,2,unstressed,Final Unstressed,1,short,125.663292142857,125.03942916248,72.35,63.641339644334494,-2.754492025383156,-1.04756810635067,-0.343849223153776
DK,haku366.516521679316,a,-2,2,primary,Primary Stressed,1,short,130.580787571429,130.270297187256,79.7,52.5259990820928,-2.9464470113545262,-0.457011622458253,0.0118959661242579
DK,haku366.516521679316,u,-1,2,unstressed,Final Unstressed,1,short,126.483739333333,126.310002862744,68.6,41.0338305580353,-3.193358416953192,-1.19682880088374,0.071148845613112
HM,haku398.20916975637,a,-2,2,primary,Primary Stressed,1,short,112.419776307692,120.121826282833,76.9,84.8764042927996,-2.466559147816886,-0.257173840655923,0.282177207146602
HM,haku398.20916975637,u,-1,2,unstressed,Final Unstressed,1,short,126.8242164,119.912935693985,73.95,82.6178548780376,-2.493529461063513,-1.13009264037655,-0.0176172597003825
HM,haku455.9538,a,-2,2,primary,Primary Stressed,1,short,132.520705692308,137.958641207519,75.2,86.7253441508069,-2.4450091178343194,-0.374956876312305,0.123236098996711
