Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
SB,haku183.470189254047,a,-2,2,primary,Primary Stressed,1,short,241.9046143,2.1506560163952257,0.17256190649212896,68.5336527416496,-2.6804303734529147,-4.49363237986056e-4,0.430518037681114
SB,haku183.470189254047,u,-1,2,unstressed,Final Unstressed,1,short,204.8881005,1.1067153317031502,0.3390249514242351,117.052866130649,-2.1451295989661143,-1.45740916553692,0.0573587396243598
HM,haku19.2521482686873,a,-2,2,primary,Primary Stressed,1,short,118.822092538462,-0.35455679373287957,-1.1474021775993146,83.0258221822966,-2.4886036089403367,-0.557544425926022,0.169961770159321
HM,haku19.2521482686873,u,-1,2,unstressed,Final Unstressed,1,short,98.6470588571429,-1.151634955962737,-1.543844216399414,92.8839301558249,-2.3764046281485274,-1.29191272294327,-0.170280673962547
DK,haku310.742999700263,a,-2,2,primary,Primary Stressed,1,short,135.77792675,-0.11179897691380918,2.1576561652038575,77.1830859583815,-2.5615749397593084,-0.315756472115926,0.174868870695463
DK,haku310.742999700263,u,-1,2,unstressed,Final Unstressed,1,short,125.663292142857,-0.4866783098632609,0.2054615642049744,63.641339644334494,-2.754492025383156,-1.04756810635067,-0.343849223153776
DK,haku366.516521679316,a,-2,2,primary,Primary Stressed,1,short,130.580787571429,-0.3217550524212704,1.6191197235489942,52.5259990820928,-2.9464470113545262,-0.457011622458253,0.0118959661242579
DK,haku366.516521679316,u,-1,2,unstressed,Final Unstressed,1,short,126.483739333333,-0.4466185812531829,-0.5157925987256471,41.0338305580353,-3.193358416953192,-1.19682880088374,0.071148845613112
HM,haku398.20916975637,a,-2,2,primary,Primary Stressed,1,short,112.419776307692,-0.38432988518700717,0.33403912528527524,84.8764042927996,-2.466559147816886,-0.257173840655923,0.282177207146602
HM,haku398.20916975637,u,-1,2,unstressed,Final Unstressed,1,short,126.8242164,-0.392448998376469,-0.2814893033780401,82.6178548780376,-2.493529461063513,-1.13009264037655,-0.0176172597003825
HM,haku455.9538,a,-2,2,primary,Primary Stressed,1,short,132.520705692308,0.3089474908387304,-0.020672172588499987,86.7253441508069,-2.4450091178343194,-0.374956876312305,0.123236098996711
HM,haku455.9538,u,-1,2,unstressed,Final Unstressed,1,short,140.065957,0.22792717221033815,-0.7509601387992124,77.79292862989,-2.5537047435753455,-1.34555495875828,-0.26572090123438
HM,haku482.361630272303,a,-2,2,primary,Primary Stressed,1,short,118.395889333333,-0.38738452206846824,-0.9596138434308445,66.4636573412167,-2.7110999868563606,-0.603266675264118,0.167607056751534
HM,haku482.361630272303,u,-1,2,unstressed,Final Unstressed,1,short,64.568085,-0.8137473738248705,-1.4708154197783438,51.2091468842755,-2.971837112809195,-1.25822188319744,-0.0477408725802198
DK,haku698.2278,a,-2,2,primary,Primary Stressed,1,short,155.141163272727,0.7254724978241882,0.5035799515496335,76.3385784655384,-2.572576852934336,-0.585178038354828,0.0251304834269401
DK,haku698.2278,u,-1,2,unstressed,Final Unstressed,1,short,152.78668225,0.35641106659256083,-0.15035715617413112,41.8044596358413,-3.174752255289721,-1.3180970995762,0.187383048981207
JM,hala197.1576,a,-2,2,primary,Primary Stressed,1,short,134.2974985,0.6169427297106704,0.9685517159976422,127.864031116104,-2.0567878365626893,-0.467475080717751,0.0651754998743215
JM,hala197.1576,a,-1,2,unstressed,Final Unstressed,1,short,137.179586692308,0.5775900370000109,0.6776271293608571,86.4103954574489,-2.4486472926151848,-0.535219414777214,0.0613437584097722
JM,hala203.546580672156,a,-2,2,primary,Primary Stressed,1,short,140.349547285714,0.7631862543520033,0.7503582760200525,81.9011082785153,-2.5022427561204674,-0.568266905104453,0.00105812937082206
JM,hala203.546580672156,a,-1,2,unstressed,Final Unstressed,1,short,117.723504876923,-0.1975060382994224,1.0655265782099015,340.757397830828,-1.0765844982058645,-0.527595297831644,0.110999926423086
JM,hala204.842914467693,a,-2,2,primary,Primary Stressed,1,short,50.9508,-0.7020681344526779,-0.9345799549179912,51.3791540558088,-2.9685227519005415,-0.767459300863487,0.107100975790576
JM,hala204.842914467693,a,-1,2,unstressed,Final Unstressed,1,short,99.473684,-0.6899254863672919,-2.3528373147723136,39.7020735885576,-3.2263518612031934,-0.544201055304891,0.632882367933876
LV,hale1028.3381,a,-2,2,primary,Primary Stressed,1,short,165.789474,-0.17993294564917187,-0.37582506397690346,33.5177964402646,-3.3956787441847256,-0.728674853411718,0.483659839241346
LV,hale1028.3381,e,-1,2,unstressed,Final Unstressed,1,short,159.5321165,-0.3122620793936041,-0.19717609154731214,62.7626010398217,-2.7683959077469398,-1.20258772533457,0.698950278632178
LV,hale1032.89149589429,a,-2,2,primary,Primary Stressed,1,short,154.1077668,-0.43158318784113364,-0.26022867005187256,47.6754373282802,-3.0433389544222536,-0.601418408257917,0.414991344683227
LV,hale1032.89149589429,e,-1,2,unstressed,Final Unstressed,1,short,156.231567333333,-0.4968888794844384,-0.16564980229503343,48.2789238767509,-3.0307601722151563,-1.03952398514503,0.710078365141586
DK,hale1170.5120485688,a,-2,2,primary,Primary Stressed,1,short,127.548526454545,NA,1.292151169687112,82.1703810136114,-2.4989603701554084,-0.408241019912828,0.192616973816953
DK,hale1170.5120485688,e,-1,2,unstressed,Final Unstressed,1,short,116.05403025,-0.9691323213781624,0.7728481723770638,201.15795194192302,-1.6036648489693999,-0.804360265602755,0.430243243129359
JM,hale12.9322,a,-2,2,primary,Primary Stressed,1,short,108.709917,-0.22366513879324224,-0.38909635497402045,61.7685852052947,-2.7843603737734055,-0.200957914125799,0.533369211528504
JM,hale12.9322,e,-1,2,unstressed,Final Unstressed,1,short,115.967921166667,-0.24124956075030188,0.5321648360424628,55.7134799104961,-2.8875331521632925,-0.914435118964546,0.512007847909923
LV,hale12.9665,a,-2,2,primary,Primary Stressed,1,short,161.905255,-0.3433634469777725,-0.16564980229503343,40.0000000000009,-3.2188758248681784,-0.511486232497921,0.38703666056139
LV,hale12.9665,e,-1,2,unstressed,Final Unstressed,1,short,158.981369,-0.4390017836030956,-0.22870238079959385,38.801200146052,-3.249304101232003,-1.07246814086439,0.633366789868153
JM,hale125.2556,a,-2,2,primary,Primary Stressed,1,short,NA,NA,-1.1164078215659814,53.8639882209253,-2.921293146420948,-0.724429842081944,0.16412207475623
JM,hale125.2556,e,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-1.819475572604875,45.6386101639481,-3.0870012066003145,-1.31234469685175,0.444557909839218
JM,hale13.0152135877724,a,-2,2,primary,Primary Stressed,1,short,49.1088448181818,-0.5141164440842844,-1.480063554861962,88.9468674666887,-2.4197160822786286,-0.649145383825386,0.162237628414074
JM,hale13.0152135877724,e,-1,2,unstressed,Final Unstressed,1,short,26.033058,-0.5555933814342019,-2.0619127281355287,56.3747751549446,-2.8757334695496057,-1.35735102825953,0.622270178138092
JM,hale142.8746,a,-2,2,primary,Primary Stressed,1,short,NA,NA,-0.5466805060689433,71.057086839545,-2.6442716850142247,-0.463235390930102,0.188706313043695
JM,hale142.8746,e,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-0.9709455282475872,39.6390016928194,-3.2279417541760425,-1.29843171360856,0.643895953191527
LV,hale157.891729354915,a,-2,2,primary,Primary Stressed,1,short,154.195801,-0.693818111397409,-1.1429647691157274,31.598096455098798,-3.454658398966394,-1.05821611815719,0.361134311532091
LV,hale157.891729354915,e,-1,2,unstressed,Final Unstressed,1,short,148.86484525,-2.544380578916082,-1.3531400307975974,66.5749244527944,-2.7094272820511756,-1.06769486211173,0.733346790873676
DK,hale1882.376,a,-2,2,primary,Primary Stressed,1,short,155.5817515,0.5843154617756681,-0.736977208691036,55.70842995985,-2.887623797722239,-0.490780974569057,0.139002548569809
DK,hale1882.376,e,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-1.948684202414481,47.184035729515,-3.0536996696715626,-0.662914537680768,0.343503505691093
JM,hale193.106667153683,a,-2,2,primary,Primary Stressed,1,short,129.166252125,0.39870315274748913,1.4291823115058822,69.04921140082371,-2.672935819889754,-0.480661771674534,0.258857018458215
JM,hale193.106667153683,e,-1,2,unstressed,Final Unstressed,1,short,127.8123384,0.2310051437988512,1.6958631825896031,64.3944357144619,-2.742728051554042,-1.06468141429671,0.568054769516394
JM,hale200.4295,a,-2,2,primary,Primary Stressed,1,short,104.1810852,-0.5344194895439581,-0.2678777772086936,49.3208652863188,-3.00940805651064,-0.806542382501993,0.178848560292345
JM,hale200.4295,e,-1,2,unstressed,Final Unstressed,1,short,104.726325714286,-0.6533445548243783,0.18063096052301775,50.000000000011404,-2.995732273553763,-1.3814317591222,0.605701979132694
JM,hale204.3795,a,-2,2,primary,Primary Stressed,1,short,83.6065564285714,3.4706133762996383,0.14426538719341833,60.7026034293199,-2.8017686917323217,-0.761930738502342,0.211767636818994
JM,hale204.3795,e,-1,2,unstressed,Final Unstressed,1,short,99.9862301666667,-0.8871555513713699,-0.9951892438006547,56.9086907149767,-2.866307212870081,-1.33181772625437,0.623079528559573
AA,hale2115.201072,a,-2,2,primary,Primary Stressed,1,short,145.158384666667,0.2964133621586623,0.5606517403041232,66.725811,-2.7071634294004823,-0.437116854726646,0.271497260790724
AA,hale2115.201072,e,-1,2,unstressed,Final Unstressed,1,short,137.73165952381,-0.12867440772430636,1.2563869525266336,121.984257,-2.103863283558991,-0.983186042395621,0.508785570629983
HM,hale259.7614,a,-2,2,primary,Primary Stressed,1,short,130.945384363636,0.12957405156589052,0.21927958773787518,78.2210282783353,-2.548216763763993,-0.478029821330828,0.140975367298562
HM,hale259.7614,e,-1,2,unstressed,Final Unstressed,1,short,145.012871857143,0.48227225398523565,0.17754884681155111,69.99999999999321,-2.659260036932875,-1.01375691957495,0.553651300431593
DK,hale261.719,a,-2,2,primary,Primary Stressed,1,short,163.83168,0.727454378297907,0.676680950652981,69.33649232883,-2.668783926551817,-0.571573438016741,0.00549271254753503
DK,hale261.719,e,-1,2,unstressed,Final Unstressed,1,short,132.833049461538,-0.1011769673433187,-0.9966287073460615,99.1466587054219,-2.3111551239747703,-1.06930537697223,0.484589386220251
SB,hale268.18449145354,a,-2,2,primary,Primary Stressed,1,short,204.034755428571,1.089163725993811,-0.32682722830419253,50.000000000011404,-2.995732273553763,-0.551349221770965,0.357559384986204
SB,hale268.18449145354,e,-1,2,unstressed,Final Unstressed,1,short,194.104473642857,0.7814663884505864,-0.05632478028951665,81.1931768258773,-2.5109240645831234,-1.58829588083318,0.724722494273865
RM,hale289.296041716233,a,-2,2,primary,Primary Stressed,1,short,159.782608,-0.7523592207203034,0.1212350909440487,46.3781142265702,-3.0709276071756193,-0.443650656842126,0.178200805052936
RM,hale289.296041716233,e,-1,2,unstressed,Final Unstressed,1,short,170.695905142857,-0.6445373427716918,-1.0227267928356079,52.9822248540199,-2.937798801795335,-1.14503542009982,0.478573216605247
JM,hale29.7992,a,-2,2,primary,Primary Stressed,1,short,115.0851962,-0.23854434191743876,-0.2921214927617576,40.0670142502477,-3.217201870455794,-0.479729437544532,0.183438780834455
JM,hale29.7992,e,-1,2,unstressed,Final Unstressed,1,short,220.588024,-0.45834631101744344,0.21699653385261372,57.2757855034389,-2.8598773361414427,-1.29486201973194,0.665292075349254
SB,hale302.0477,a,-2,2,primary,Primary Stressed,1,short,150.3778984375,-0.6050752567890055,-1.6377237071445327,92.5507635482177,-2.379997989880858,-0.345848822327839,0.296687751325668
SB,hale302.0477,e,-1,2,unstressed,Final Unstressed,1,short,157.765296833333,-0.41784926858658417,-0.6181375569353775,49.360407225662996,-3.0086066493043084,-0.823444691006157,0.618360323900273
AA,hale356.267,a,-2,2,primary,Primary Stressed,1,short,119.8405221,-0.6509385256850352,0.6600424849073405,75.206408,-2.587518838890787,-0.488983781176836,0.0872516369110317
AA,hale356.267,e,-1,2,unstressed,Final Unstressed,1,short,110.588157,-1.1836280667973544,0.3991417803238995,91.501129,-2.3914039679789694,-1.05760557390643,0.600126487565172
