"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_comp"
"1","AA","KLH057a_3660","halihali","halihali1475.585","a","-4",4,"secondary","Secondary Stressed",1,"short",153.89699925,156.519823202849,80.7,60.298113,4.09930080971115,-0.664981733746593,0.0943922929494274,"-4_4"
"2","AA","KLH057a_3661","halihali","halihali1475.585","i","-3",4,"unstressed","Antepen. Unstressed",1,"short",158.07578275,157.85125137942,79.6,38.805717,3.65856758113579,-1.13953814204631,0.540111795558694,"-3_4"
"3","AA","KLH057a_3662","halihali","halihali1475.585","a","-2",4,"primary","Primary Stressed",1,"short",165.777589444444,167.839161126094,80.95,62.42108,4.1339030388397,-0.866201641841766,0.401899227519344,"-2_4"
"4","AA","KLH057a_3663","halihali","halihali1475.585","i","-1",4,"unstressed","Final Unstressed",1,"short",176.9380401,178.403055246172,81.65,60,4.0943445622221,-1.00257595278101,0.528252250674211,"-1_4"
"5","DK","KLH063c_0340","hapahapa","hapahapa180.6988","a","-4",4,"secondary","Secondary Stressed",1,"short",109.158417,111.135276701562,74.5,62.4274322817087,4.13400479867004,-0.15863790265244,0.224289689553856,"-4_4"
"6","DK","KLH063c_0341","hapahapa","hapahapa180.6988","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",56.162349875,NA,70.7,72.8320043286317,4.28815547849691,-0.255824460733825,0.120575163514879,"-3_4"
"7","DK","KLH063c_0342","hapahapa","hapahapa180.6988","a","-2",4,"primary","Primary Stressed",1,"short",59.300873,NA,70.85,63.9528866501848,4.15814666618023,-0.286351202303791,0.182446724618759,"-2_4"
"8","DK","KLH063c_0343","hapahapa","hapahapa180.6988","a","-1",4,"unstressed","Final Unstressed",1,"short",121.154030307692,120.20722109165,72.6,95.9532755440762,4.56386135990204,-0.634306807591392,0.0184712854892091,"-1_4"
"9","HM","KLH021a_0080","haʻalele","haʻalele152.663437873928","a","-4",4,"secondary","Secondary Stressed",1,"short",141.985705333333,142.404734174126,78.9,59.2936871455834,4.08250284410719,-0.423314952993919,0.0936328549143779,"-4_4"
"10","HM","KLH021a_0081","haʻalele","haʻalele152.663437873928","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",118.260490181818,117.240411049638,76.55,78.3160143515715,4.36075210764711,-0.403690221464974,0.153165107773805,"-3_4"
"11","HM","KLH021a_0082","haʻalele","haʻalele152.663437873928","e","-2",4,"primary","Primary Stressed",1,"short",145.5499589,144.108856355206,79.85,59.991259935515,4.09419888387011,-0.894463689823343,0.44356853670904,"-2_4"
"12","HM","KLH021a_0083","haʻalele","haʻalele152.663437873928","e","-1",4,"unstressed","Final Unstressed",1,"short",140.298817,136.692641132416,79.8,60.0331330110748,4.09489662665773,-1.13918878041039,0.553546214260836,"-1_4"
"13","DK","KLH063a_0595","haʻalele","haʻalele317.881729652191","a","-4",4,"secondary","Secondary Stressed",1,"short",137.918254875,138.11817577562,75.4,63.0258781298494,4.14354540601697,-0.39142955453582,0.0980359331603866,"-4_4"
"14","DK","KLH063a_0596","haʻalele","haʻalele317.881729652191","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",124.25,140.323939487683,70.05,59.9999999999454,4.09434456222119,-0.463468132283391,0.168369413777833,"-3_4"
"15","DK","KLH063a_0597","haʻalele","haʻalele317.881729652191","e","-2",4,"primary","Primary Stressed",1,"short",126.912652363636,123.335707085774,72.2,75.9441993535575,4.32999885158339,-0.930059728060953,0.461112290497563,"-2_4"
"16","DK","KLH063a_0598","haʻalele","haʻalele317.881729652191","e","-1",4,"unstressed","Final Unstressed",1,"short",114.84375,115.232931894292,66.6,38.3136561789002,3.64580639083066,-1.05625625830831,0.291599930563564,"-1_4"
"17","DK","KLH063a_0626","haʻalele","haʻalele324.985","a","-4",4,"secondary","Secondary Stressed",1,"short",62.91013,100.466250877019,76.3,57.7150297035587,4.055517619726,-0.399541361071197,0.0932690480135214,"-4_4"
"18","DK","KLH063a_0627","haʻalele","haʻalele324.985","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",136.34081275,134.809024520184,72.85,70.0980720337725,4.24989529057777,-0.454413330398181,0.183565838108963,"-3_4"
