,Speaker,filename,start,vowel,word,duration,comment1,omit
1,IN,KLH013b_1089,856.2390796,ā,moloā,0.362572567,,yes
2,RM,KLH014a_0379,356.0429546,e,poʻe,0.412524984,,yes
3,RM,KLH014a_0442,375.9698691,e,poʻe,0.383460441,,yes
4,RM,KLH014a_0591,468.7525114,e,poʻe,0.357588584,,yes
5,RM,KLH014a_0618,479.2420688,i,ʻealani,0.409721248,,yes
6,RM,KLH014a_0750,534.8819799,o,ʻano,0.425043835,,yes
7,RM,KLH014a_1032,681.6121,e,ākule,0.53854665,,yes
8,RM,KLH014a_1373,784.2002558,o,ʻano,0.378760683,,yes
9,RM,KLH014a_1590,897.2210425,e,poʻe,0.304385931,,yes
10,RM,KLH014b_0054,28.70520324,u,loku,0.423732444,,yes
11,RM,KLH014b_0336,245.1185532,e,manauea,0.304089367,,maybe
12,RM,KLH014b_0836,523.8188075,a,ʻaʻole,0.332500698,,yes
13,RM,KLH014b_1117,651.8308011,a,ʻaʻole,0.435131975,,yes
14,RM,KLH014b_1633,1014.6645,e,hele,0.336013777,,yes
15,JM,KLH016a_0159,97.22287163,i,makahiki,0.425108787,,
16,JM,KLH016a_0543,218.8135,e,ʻaʻole,0.315249436,,
17,JM,KLH016a_0648,258.4279062,u,koʻu,0.323477541,I didnt hear manawa it almost just sounds like he is starting with the ma and pauses elongates the sound before changing to wa,
18,JM,KLH016a_0940,333.6222723,a,kona,0.532227729,,
19,JM,KLH016a_1051,359.238144,ā,ʻehā,0.411591732,,
20,JM,KLH016a_1379,467.8568068,a,ʻohana,0.593493209,,
21,JM,KLH016b_0397,203.7468426,a,hala,0.340757398,,
22,JM,KLH016b_0554,266.1966689,a,papa,0.325931071,,
23,JM,KLH016b_0601,286.6116044,u,walu,0.48940792,,
24,JM,KLH016b_0733,333.5386275,o,ʻōlelo,0.374972475,,
25,JM,KLH016b_0747,336.9832158,a,kaikuaʻana,0.306891753,,
26,JM,KLH016b_0893,415.696341,a,ʻelua,0.372034983,,
27,JM,KLH016c_0044,142.6500649,o,lepo,0.313174462,,
28,JM,KLH016c_0213,186.9051501,u,koʻu,0.434879268,,
29,JM,KLH016c_1122,585.4774992,e,hope,0.30593039,,
30,JM,KLH016c_1442,719.8908937,a,papa,0.320825959,,
31,JM,KLH016e_0144,66.92660129,e,hale,0.347598707,,
32,HM,KLH021a_0002,91.5274,o,aloha,0.47,,
33,HM,KLH021a_0041,140.5354297,a,kāwika,0.30119757,,
34,HM,KLH021a_0185,186.1652372,ā,kūmā,0.330714624,,
35,HM,KLH021a_0292,234.3455929,a,iwa,0.320868563,,
36,HM,KLH021a_0331,252.2290322,ā,poʻolā,0.301562316,,
37,HM,KLH021a_0364,264.4422502,ā,manuā,0.300983117,,
38,HM,KLH021a_0409,296.2842407,o,ʻano,0.309759314,,
39,HM,KLH021a_0411,297.9197611,o,ʻano,0.303906097,,
40,HM,KLH021a_0428,300.9979365,e,poʻe,0.353549872,,
41,HM,KLH021a_1059,622.4688343,ā,akā,0.316752557,,
42,HM,KLH021a_1295,721.5487,e,poʻe,0.340128224,,
43,HM,KLH021b_0018,25.84199277,o,ʻeono,0.415577256,,
44,HM,KLH021b_0032,32.9523,ā,ʻehā,0.328297707,,
45,HM,KLH021c_0220,408.8903308,ā,akā,0.302440362,,
46,HM,KLH021c_0626,522.835,i,ia,0.31,excresc ʻokina,
