time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025948,210.6,357.8,2285.0,721.5,2562.7,223.5,251.5,2279.8,2640.3,162.6,65.1
0.027948,249.8,244.8,2299.3,704.0,2579.8,264.1,256.7,2280.9,2650.1,162,65.4
0.029948,274.6,169.8,2294.9,702.3,2611.8,334.9,264.9,2282.5,2665.2,161.4,65.4
0.031948,291.1,131.2,2278.9,730.1,2654.4,422.0,275.2,2284.8,2683.7,160.7,65.3
0.033948,303.5,113.9,2273.4,727.3,2713.3,554.4,286.6,2287.3,2703.2,159.9,65.2
0.035948,313.5,106.8,2263.0,607.0,2899.8,739.8,298.1,2289.7,2721.5,159.2,65
0.037948,319.9,103.2,2234.8,498.7,2899.1,345.4,308.6,2291.2,2736.3,158.4,64.8
0.039948,322.6,97.6,2220.9,494.5,2871.7,438.2,317.2,2290.8,2745.8,157.6,64.6
0.041948,322.2,90.8,2243.6,613.6,2806.2,582.9,323.4,2287.2,2748.8,156.8,64.4
0.043948,320.2,86.4,2324.1,890.8,2674.2,612.1,326.6,2279.1,2745,156,64.4
0.045948,317.8,89.1,2410.6,1450.0,2590.9,438.0,326.9,2265,2734.9,155.2,64.5
0.047948,315.6,102.0,2505.8,1974.5,2588.7,366.0,324.5,2243.8,2719.7,154.3,64.7
0.049948,312.8,118.0,2389.7,1965.7,2624.9,337.9,320,2214.5,2701.3,153.5,65
0.051948,308.6,118.6,2031.7,1571.0,2655.9,266.4,314,2177,2681.9,152.6,65.3
0.053948,303.8,101.7,1878.1,1195.5,2665.4,203.3,307.4,2131.8,2663.7,151.7,65.7
0.055948,299.4,79.3,1859.1,984.1,2672.9,169.3,300.9,2080.2,2649,150.9,66
0.057948,295.7,59.4,1879.9,854.7,2679.7,156.5,295.2,2024.4,2639.2,150,66.3
0.059948,293.8,45.4,1920.7,764.0,2682.1,161.1,290.8,1967.3,2635.4,149.2,66.5
0.061948,293.9,38.2,1974.9,718.8,2680.9,171.2,288,1912.6,2637.8,148.3,66.7
0.063948,294.4,34.7,2029.7,745.2,2681.5,173.3,286.8,1863.9,2645.6,147.5,66.9
0.065948,294.6,33.6,2053.8,903.4,2681.8,172.9,287.2,1824.8,2657.4,146.6,67.1
0.067948,294.2,35.2,1988.5,1189.0,2678.0,157.2,288.7,1798.6,2671.2,145.8,67.4
0.069948,293.4,39.5,1819.5,1353.7,2680.6,123.4,290.9,1787.4,2684.7,144.9,67.6
0.071948,292.2,43.1,1700.3,1255.8,2682.2,97.7,293.3,1792.5,2695.2,144.1,67.9
0.073948,291.4,44.2,1686.1,1098.2,2676.3,81.7,295.5,1813.5,2700.5,143.3,68.2
0.075948,291.6,43.7,1733.9,1025.8,2668.7,75.8,297.2,1848.7,2698.7,142.5,68.5
0.077948,292.2,42.9,1808.8,1038.2,2660.1,77.6,298.2,1895.1,2688.4,141.6,68.7
0.079948,292.8,43.5,1906.8,1098.4,2649.0,85.2,298.5,1948.5,2669.2,140.8,68.8
0.081948,294.1,46.3,2021.8,1147.6,2634.3,99.9,298.4,2003.9,2641.2,140,68.9
0.083948,296.4,50.1,2111.0,1193.8,2614.3,127.3,298.1,2056,2605.4,139.2,68.9
0.085948,299.1,53.5,2158.1,1251.3,2582.3,169.1,298.2,2099.9,2563.3,138.5,68.9
0.087948,301.8,57.1,2175.1,1304.4,2519.3,202.6,299.1,2131.4,2516.9,137.7,68.8
0.089948,304.7,61.2,2145.8,1351.5,2455.1,178.6,301,2147.3,2468.4,136.9,68.7
0.091948,308.6,65.6,2106.2,1381.0,2412.7,139.9,304.4,2146.2,2420,136.2,68.5
0.093948,313.0,70.9,2097.9,1407.8,2382.7,117.6,309.2,2128.3,2373.5,135.4,68.3
0.095948,317.8,81.0,2108.2,1441.0,2350.6,106.2,315.3,2095.6,2330.8,134.7,68.1
0.097948,323.9,99.1,2109.7,1518.3,2315.9,96.4,322.4,2051.6,2292.9,134,67.8
0.099948,331.0,120.0,2067.4,1599.4,2289.0,88.9,330,2001,2260.7,133.3,67.5
0.101948,338.0,138.3,1957.3,1521.2,2266.8,90.0,337.5,1949.1,2234.5,132.6,67.3
0.103948,343.1,146.1,1854.2,1269.7,2242.4,103.6,344.2,1901.6,2214.5,132,67
0.105948,346.9,139.1,1813.3,1075.8,2205.4,126.4,349.6,1863.5,2200.4,131.4,66.9
0.107948,349.8,120.3,1818.0,1044.6,2156.9,145.8,353,1838.9,2192,130.8,66.8
0.109948,352.7,99.6,1847.4,1129.8,2117.2,155.7,354.2,1830.3,2189.3,130.2,66.9
