time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025884,319.6,229.4,1315.1,782.2,2443.8,711.2,309.8,1197.9,2381.9,212.9,63.9
0.027884,314.4,179.8,1178.4,715.1,2379.4,576.5,311.9,1173.1,2373.6,211.9,65.8
0.029884,311.1,150.8,1085.1,590.9,2306.8,444.6,315.5,1138,2360.3,210.9,67.3
0.031884,312.6,129.6,1043.0,479.5,2279.9,349.8,320.6,1100.6,2343,209.8,68.5
0.033884,319.8,113.8,1026.3,417.4,2288.9,302.8,327,1069.4,2323.3,208.7,69.5
0.035884,331.5,104.2,1021.4,418.7,2309.4,296.9,334.4,1051.7,2303.7,207.5,70.3
0.037884,344.4,101.4,1031.3,506.3,2327.6,342.7,342.2,1051.6,2286.9,206.4,70.9
0.039884,355.2,101.1,1064.2,695.9,2354.3,466.5,349.6,1069.3,2276.5,205.2,71.4
0.041884,361.0,99.0,1123.6,952.6,2469.9,675.0,355.6,1101.2,2275.6,204,71.8
0.043884,362.1,97.5,1209.4,1146.8,2199.8,1961.6,359.5,1140.1,2286.4,202.8,72.1
0.045884,360.3,98.2,1261.9,1089.5,2074.6,2580.3,360.6,1177.4,2309.9,201.7,72.4
0.047884,356.4,100.2,1227.6,964.7,2217.7,2881.7,358.6,1204.3,2345.1,200.6,72.5
0.049884,351.4,104.2,1181.3,896.8,2452.5,2633.0,353.8,1214.3,2389.1,199.5,72.5
0.051884,345.5,111.3,1152.9,842.1,2598.1,448.2,346.8,1203.9,2437.1,198.5,72.5
0.053884,338.1,119.8,1130.4,762.1,2553.0,361.7,338.6,1173.7,2483,197.5,72.4
0.055884,329.3,124.6,1091.9,651.4,2534.3,281.5,330.3,1128.3,2520.7,196.6,72.4
0.057884,321.2,123.2,1050.7,549.5,2524.2,248.0,322.9,1075.2,2544.8,195.8,72.3
0.059884,316.7,119.1,1022.1,494.7,2512.5,266.6,316.9,1023.6,2551.5,195,72.3
0.061884,314.5,114.9,1004.6,477.1,2494.1,341.4,312.5,982.3,2539.5,194.3,72.3
0.063884,312.0,111.0,996.5,474.3,2464.2,449.1,309.1,958.9,2510.1,193.6,72.3
0.065884,308.1,110.0,1003.8,494.1,2440.3,525.6,306,957.9,2467.1,193,72.2
0.067884,302.7,112.7,1028.4,553.6,2449.3,544.8,301.9,980.4,2415.8,192.5,72.2
0.069884,294.9,115.2,1051.6,672.7,2432.5,565.3,296,1024.5,2362.4,192,72.1
0.071884,285.4,118.8,1062.2,884.3,2346.6,562.5,287.4,1085.3,2312.5,191.6,72
0.073884,274.7,126.1,1090.5,1159.8,2256.3,483.1,276,1156.5,2270.6,191.3,71.9
0.075884,261.6,135.3,1173.6,1336.3,2211.4,408.4,262.3,1230.8,2239,191,71.9
0.077884,246.7,148.2,1273.8,1293.3,2197.8,360.2,247.6,1301.4,2217.9,190.7,71.8
0.079884,232.2,164.4,1345.8,1166.3,2197.1,327.3,233.4,1362.4,2205.9,190.5,71.7
0.081884,220.9,174.3,1405.4,1048.5,2199.3,312.0,221.6,1409.2,2200.3,190.3,71.6
0.083884,215.2,171.4,1464.7,925.8,2202.5,319.8,213.7,1438.4,2198.3,190.2,71.4
0.085884,213.2,165.5,1512.6,794.1,2211.5,347.1,211,1448.4,2197.9,190,71.3
