time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025186,344.4,214.4,2098.3,252.8,2780.9,178.6,348.1,2048.7,2769.1,138.8,65.2
0.027186,349.8,183.6,2080.7,260.1,2765.6,155.8,349.9,2050.4,2768.9,138.9,65.1
0.029186,354.2,157.1,2060.7,270.4,2760.9,129.4,352.8,2053,2768.7,139,65
0.031186,357.4,137.8,2040.6,280.3,2763.4,107.8,356.2,2056.4,2768.4,139,64.9
0.033186,360.3,126.3,2025.3,287.9,2768.3,93.5,359.8,2060.2,2768,139.1,64.8
0.035186,363.5,118.8,2016.6,298.0,2770.8,87.0,363,2064.1,2767.8,139.2,64.7
0.037186,366.4,112.1,2018.0,313.7,2769.9,88.9,365.5,2067.9,2767.7,139.3,64.6
0.039186,368.0,106.3,2035.8,326.9,2768.6,98.0,366.8,2071,2767.7,139.4,64.5
0.041186,367.7,102.6,2070.3,321.1,2768.3,112.5,366.8,2073.1,2768,139.5,64.5
0.043186,365.4,98.9,2106.7,293.1,2767.1,129.4,365.4,2073.9,2768.5,139.6,64.5
0.045186,361.8,94.8,2125.7,259.6,2765.5,140.4,362.8,2073.2,2769.3,139.7,64.5
0.047186,358.0,92.5,2120.4,231.0,2766.2,142.1,359.1,2070.6,2770.4,139.8,64.5
0.049186,353.9,92.9,2094.0,202.4,2770.6,138.7,354.7,2066.1,2772,139.9,64.6
0.051186,349.1,92.7,2061.3,172.8,2778.1,135.4,350,2059.5,2774,140,64.7
0.053186,344.1,88.7,2037.8,152.8,2783.9,131.6,345.2,2050.8,2776.4,140.1,64.8
0.055186,339.7,82.9,2020.8,144.5,2784.9,123.1,340.8,2040.2,2779.4,140.3,64.9
0.057186,336.4,78.5,2005.5,144.0,2783.7,110.4,336.9,2027.9,2783,140.4,65.1
0.059186,334.3,76.6,1991.6,145.4,2784.5,97.3,333.5,2014.2,2787.2,140.5,65.2
0.061186,332.6,77.4,1981.3,147.3,2788.3,85.7,330.8,1999.7,2792,140.6,65.4
0.063186,330.5,81.3,1975.2,150.7,2793.3,76.1,328.5,1985,2797.3,140.8,65.5
0.065186,328.1,86.0,1972.0,153.1,2798.6,69.2,326.4,1970.9,2803.3,140.9,65.6
0.067186,325.4,87.3,1968.2,150.7,2806.1,62.2,324.5,1958.1,2809.6,141,65.7
0.069186,322.4,82.5,1961.1,143.5,2816.4,54.2,322.5,1947.6,2816.2,141.2,65.8
0.071186,319.3,72.7,1951.5,133.4,2826.9,47.1,320.2,1940.3,2822.8,141.3,65.9
0.073186,316.4,62.0,1943.5,122.7,2834.1,43.8,317.7,1937.1,2829.3,141.4,66
0.075186,313.6,54.4,1942.0,114.3,2838.3,45.3,315,1938.6,2835.5,141.6,66
0.077186,310.4,51.2,1949.8,109.2,2842.1,50.9,312.2,1945.3,2841,141.7,66.1
0.079186,307.8,51.3,1964.2,105.0,2846.4,57.5,309.4,1957.3,2845.7,141.8,66.2
0.081186,306.2,52.6,1981.9,99.4,2850.0,60.8,306.9,1974.5,2849.4,141.9,66.3
0.083186,305.3,54.0,2002.5,92.7,2851.4,60.7,304.8,1996.4,2852.2,142.1,66.4
0.085186,304.7,55.7,2024.3,86.0,2851.7,59.7,303.3,2022.1,2853.9,142.2,66.5
0.087186,304.3,57.2,2042.2,81.2,2852.4,58.6,302.4,2050.4,2854.7,142.3,66.6
0.089186,303.9,58.2,2058.9,79.4,2853.1,58.2,302.1,2079.7,2854.6,142.4,66.7
0.091186,303.7,59.3,2080.8,80.1,2852.8,60.1,302.4,2108.5,2854,142.5,66.8
0.093186,303.8,59.2,2108.4,79.6,2851.4,64.3,303,2135,2853,142.6,66.9
0.095186,304.2,56.8,2136.5,77.3,2849.8,68.6,303.8,2157.6,2851.9,142.7,67
0.097186,304.2,53.9,2168.8,75.6,2849.2,73.0,304.6,2174.9,2850.9,142.8,67.1
0.099186,303.8,50.2,2208.0,72.8,2851.5,76.9,305.1,2185.7,2850.2,142.9,67.2
0.101186,303.1,44.4,2244.0,65.8,2856.8,75.8,305.3,2189.4,2850,142.9,67.3
