time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025800,273.1,610.6,1551.2,948.5,2371.9,731.8,287.4,1570,2314.2,238.7,57.2
0.027800,303.5,377.0,1563.3,814.7,2316.7,708.9,293,1577.7,2332.4,238,58.7
0.029800,309.3,268.7,1592.9,804.5,2278.7,768.0,301.7,1585.7,2361.6,237.2,59.8
0.031800,314.2,206.5,1620.8,786.9,2345.8,842.3,312.9,1588.6,2400.3,236.5,60.6
0.033800,322.3,164.7,1599.5,748.4,2499.4,690.5,325.7,1581.2,2446.5,235.7,61.2
0.035800,335.5,137.3,1561.3,734.4,2573.3,457.3,339.2,1561.1,2497.9,234.9,61.6
0.037800,351.9,118.4,1521.6,736.5,2594.0,332.7,352.4,1529.8,2552.3,234.1,61.9
0.039800,366.4,106.1,1479.4,757.6,2599.8,287.4,364.6,1493,2607.2,233.3,62.2
0.041800,377.6,100.8,1438.5,831.6,2609.2,290.7,375.4,1459.8,2660.8,232.5,62.6
0.043800,385.8,102.7,1425.4,989.5,2650.1,335.2,384.4,1441.6,2711.3,231.8,62.9
0.045800,392.0,106.5,1467.9,1166.0,2745.5,357.4,391.5,1448.6,2757.3,231,63.3
0.047800,395.7,106.9,1526.2,1186.3,2830.5,291.8,397,1487.9,2797.9,230.3,63.6
0.049800,398.4,105.5,1572.0,1139.2,2865.2,239.3,401,1561.2,2832.4,229.7,64
0.051800,401.6,104.7,1652.9,1122.5,2873.7,234.5,404,1663.2,2860.8,229,64.3
0.053800,405.3,103.8,1755.8,1115.2,2875.0,265.6,406.4,1782.1,2882.9,228.4,64.7
0.055800,408.4,101.5,1870.2,1124.3,2883.4,317.5,408.4,1901.2,2899,227.9,65.1
0.057800,411.1,98.4,1996.4,1088.5,2905.1,350.9,410.2,2001.8,2909.5,227.4,65.4
0.059800,414.2,95.1,2081.4,1008.4,2923.8,335.8,412,2066.3,2914.8,226.9,65.8
0.061800,416.8,92.7,2102.8,972.6,2925.1,303.2,413.7,2081.8,2915.6,226.5,66.1
0.063800,418.4,92.3,2060.1,975.2,2913.4,273.7,415.2,2042.9,2912.3,226.1,66.4
0.065800,418.8,93.6,1976.4,993.4,2898.7,249.4,416.3,1952.9,2905.7,225.7,66.6
0.067800,416.5,94.5,1861.9,1076.9,2885.9,233.4,416.9,1823.4,2896.3,225.4,66.8
0.069800,412.0,91.0,1666.1,1218.8,2875.9,220.4,416.7,1672.3,2884.8,225,67
0.071800,408.7,82.2,1410.3,1080.4,2869.3,210.1,415.8,1520.6,2872,224.7,67.2
0.073800,408.3,72.7,1324.0,818.0,2864.3,213.9,414.1,1388.7,2858.3,224.5,67.3
0.075800,409.7,65.2,1305.3,666.1,2855.8,237.5,411.7,1292.2,2844.7,224.2,67.4
0.077800,411.0,60.0,1298.9,581.2,2839.6,267.4,408.7,1239.5,2831.5,224,67.5
0.079800,411.9,56.2,1294.7,534.0,2819.2,282.3,405.6,1230.3,2819.4,223.8,67.5
0.081800,411.7,54.3,1295.1,522.1,2805.9,281.3,402.4,1256.3,2808.8,223.5,67.4
0.083800,409.8,54.6,1303.5,541.1,2798.7,288.1,399.6,1302.9,2800.2,223.3,67.3
0.085800,404.4,57.7,1322.3,585.0,2792.4,319.8,397.4,1353,2793.8,223.1,67.1
0.087800,393.6,64.3,1353.0,648.6,2787.3,382.5,396,1390.6,2789.9,222.9,66.9
0.089800,374.9,73.7,1401.4,726.8,2788.0,467.1,395.5,1404.5,2788.5,222.6,66.6
