number,file,label,group,color
1,KLH033a_0001.wav,a,1,Red
2,KLH033a_0002.wav,o,4,Green
3,KLH033a_0003.wav,a,1,Red
4,KLH033a_0004.wav,ai,11,Teal
5,KLH033a_0005.wav,a,1,Red
6,KLH033a_0006.wav,i,3,Black
7,KLH033a_0007.wav,ae,12,Navy
8,KLH033a_0008.wav,,6,Yellow
9,KLH033a_0009.wav,au,14,Maroon
10,KLH033a_0010.wav,i,3,Black
11,KLH033a_0011.wav,a,1,Red
12,KLH033a_0012.wav,au,14,Maroon
13,KLH033a_0013.wav,i,3,Black
14,KLH033a_0014.wav,o,4,Green
15,KLH033a_0015.wav,a,1,Red
16,KLH033a_0016.wav,,7,Magenta
17,KLH033a_0017.wav,,6,Yellow
18,KLH033a_0018.wav,i,15,Grey
19,KLH033a_0019.wav,a,1,Red
20,KLH033a_0020.wav,au,14,Maroon
21,KLH033a_0021.wav,ai,11,Teal
22,KLH033a_0022.wav,a,1,Red
23,KLH033a_0023.wav,a,1,Red
24,KLH033a_0024.wav,a,1,Red
25,KLH033a_0025.wav,a,1,Red
26,KLH033a_0026.wav,M,9,Lime
27,KLH033a_0027.wav,u,5,Olive
28,KLH033a_0028.wav,a,1,Red
29,KLH033a_0029.wav,a,1,Red
30,KLH033a_0030.wav,a,1,Red
31,KLH033a_0031.wav,a,1,Red
32,KLH033a_0032.wav,u,5,Olive
33,KLH033a_0033.wav,u,5,Olive
34,KLH033a_0034.wav,a,1,Red
35,KLH033a_0035.wav,ae,12,Navy
36,KLH033a_0036.wav,a,1,Red
37,KLH033a_0037.wav,o,4,Green
38,KLH033a_0038.wav,e,2,Blue
39,KLH033a_0039.wav,au,14,Maroon
40,KLH033a_0040.wav,ou,20,Blue
41,KLH033a_0041.wav,a,1,Red
42,KLH033a_0042.wav,e,2,Blue
43,KLH033a_0043.wav,M,9,Lime
44,KLH033a_0044.wav,u,5,Olive
45,KLH033a_0045.wav,a,1,Red
46,KLH033a_0046.wav,o,4,Green
47,KLH033a_0047.wav,a,1,Red
48,KLH033a_0048.wav,i,15,Grey
49,KLH033a_0049.wav,a,1,Red
50,KLH033a_0050.wav,au,14,Maroon
51,KLH033a_0051.wav,a,1,Red
52,KLH033a_0052.wav,a,1,Red
53,KLH033a_0053.wav,o,4,Green
54,KLH033a_0054.wav,o,4,Green
55,KLH033a_0055.wav,a,1,Red
56,KLH033a_0056.wav,i,3,Black
57,KLH033a_0057.wav,au,14,Maroon
58,KLH033a_0058.wav,ai,11,Teal
59,KLH033a_0059.wav,a,1,Red
60,KLH033a_0060.wav,a,1,Red
61,KLH033a_0061.wav,a,1,Red
62,KLH033a_0062.wav,o,4,Green
63,KLH033a_0063.wav,a,1,Red
64,KLH033a_0064.wav,M,9,Lime
65,KLH033a_0065.wav,u,5,Olive
66,KLH033a_0066.wav,i,15,Grey
67,KLH033a_0067.wav,a,1,Red
68,KLH033a_0068.wav,e,2,Blue
69,KLH033a_0069.wav,a,1,Red
70,KLH033a_0070.wav,i,3,Black
71,KLH033a_0071.wav,o,4,Green
72,KLH033a_0072.wav,M,9,Lime
73,KLH033a_0073.wav,,6,Yellow
74,KLH033a_0074.wav,o,4,Green
75,KLH033a_0075.wav,a,1,Red
