e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
88.8,99.5,104.4,134.6,99.4,64.5,22.9,26.5,26.1,24.4,21.2,17.1,16.1,14.8,14.6,13.7,13.7,14.4,16,17.4
190,197.4,249.2,244.5,233.4,226.5,217.2,208.7,198.3,187.5,176.5,182,182.2,179.1,162.8,176.9,176,205.6,256.2,256.3
459.8,639.7,663.7,448.9,299.4,346.1,343.2,357.7,320.9,346.6,320.1,282.2,287.5,289,283.8,284.9,283.6,267.8,255.8,350.6
148.4,154.7,155.6,166.4,167,178.7,183.7,157.8,150,159.7,161.3,161.8,165.5,198.8,168.2,171.1,186.9,208.8,240.2,239.1
74.3,75.3,73.5,73,78.7,78.6,114.4,104.5,79,66.4,72.6,74.4,75.4,72.7,68.6,64,61,57.9,56.1,54.9
272.4,210.4,161.5,141.9,139.1,207.7,220.4,222.5,218.3,223.4,202.7,204.4,195.3,189.4,190.3,189,181.4,179.7,192.3,200.1
200.7,224.1,252.3,261.2,273,226.6,182,175.8,127.9,141.1,126.7,135.1,137.9,142.3,140,136.8,156.5,302.8,394.8,443
287.2,263.8,270.9,201.5,278.1,129,167.6,153.1,109.5,106.8,97.5,99.1,105.3,230.1,222.7,357.2,355.8,353.7,39.3,38.5
71.4,74.2,79.8,88.2,92.2,90.1,78.5,66.1,58,57.9,71.9,82.3,57.8,66.3,72.8,76.7,85.4,75,92.6,89.7
119.4,150.7,214.6,232.7,221.2,206.6,184.8,165.3,152.6,140.8,128.5,128.6,164.1,187.2,198.4,200.5,198.2,181.5,177.1,168.6
56.2,58.3,61.9,67.6,95.3,144.6,96.5,68.3,52.7,82.3,129,22,19.9,19.8,17.8,18.2,17,16.2,17.1,17.3
144.7,158.7,180.3,174.7,180.8,165.2,166.2,182.5,174.4,162.5,179.1,149,145.9,162.2,190.7,336.5,322.5,290.7,232.9,227
324.9,281.9,269.8,270.9,287,228.9,238.7,223.7,240.8,403.9,400.5,403.2,383.7,381.6,511.9,504.7,526.9,518.9,488.8,480.1
160.8,139.6,223.8,61,120.5,120.2,120.2,162,208.9,222.2,145.4,132.3,134.6,135,137.5,163.8,212,268.1,279.5,297.3
200.1,147.7,148,126.6,118.1,111.5,110.5,110,108.3,107.4,109.1,103.9,99,96.8,143,120.8,121.4,142.8,269.9,876.4
58.7,54.2,51.3,51.1,55.1,51.3,37.9,24.5,22.7,23.3,23.5,24,24.4,24.4,24.7,26.1,25.6,26.5,25.4,27
51.5,53,58.9,73.9,78.8,68,54.5,41.5,38.7,39.1,36.4,35.6,35.1,35.9,36.8,37.1,35.9,35.8,36.1,37.7
194.9,160.5,141.3,130.2,137.8,143.2,143.9,136.8,131.5,133,119.6,111.7,108.9,108.3,108,115.1,121.6,132.5,134.5,126.8
373.7,380.4,379.2,377.3,392.8,479.7,561.7,478.5,449,411.2,360.7,304.7,271.4,276.3,394.5,409.1,445.5,499.3,558.4,648.9
196.3,192.2,180.8,184.7,172.7,166.4,157.4,149.4,126.8,131.4,119.9,127.8,137.7,134.1,129.3,132.2,185.2,188.5,200.9,256.6
108.2,108.1,118,112.7,96,96.8,105.7,131.6,201.9,230.3,178.9,170.5,177.2,178.8,156.6,141.4,125.8,121.6,112.8,110.3
45.4,51.8,61.1,58.1,42,38.7,32,28.9,24.1,25.7,25.5,23.8,22.5,24.6,25.7,24,30.3,359.8,381.4,410.8
31.5,31,26.2,22.6,28.7,54.9,162.6,213,78.1,77.7,96.6,140.3,147.4,147.8,154.9,174.5,180.4,154.5,149.9,248.8
38.9,44.3,25,19.9,17.1,13.3,10.9,11.2,10.7,10.5,8.8,9.1,9.5,10.8,14.5,19.7,24.7,415.7,354.7,387.7
35.5,37.4,30.3,27.7,16.1,8,8.6,8.9,9.5,9.8,10.5,9.8,8.9,8.1,7.3,7.2,6.7,6.1,5.9,5.5
67.8,94.6,105.7,111.3,109.3,112.2,273.7,163.6,224.5,312.1,357.8,366.2,464.8,477.7,320.6,190.7,222.8,221.8,350.9,366.5
286,245.8,227.5,242.3,269.2,326.9,263.5,276.9,302.5,302.9,367.7,317.1,340.4,405.9,310.9,277.7,219.4,199.5,200.5,199.7
130.7,107.4,78.8,73,74.5,75.4,75.2,75.3,75.8,75.5,74.7,73.7,73.7,73.9,74.8,76.5,78,79.9,82.5,84.8
105.9,104.2,112.7,120.4,198.9,232.6,225.5,200.9,150.2,166.7,170.4,174.9,171.7,267.1,260.3,346.2,242.1,241.9,238.8,236.3
74.3,75.8,73.2,113.2,238.9,94.1,44.4,39.9,37.2,36.6,38.9,39.8,41.3,42.6,48.9,45.1,32.8,24.1,20,17.8
256.7,301.4,293.6,335.2,302.4,225.5,246.1,233.1,272.8,246.2,237.1,111.4,114.7,115.8,111.4,50.9,49.9,49.8,49.6,51.8
156,175,245.5,235.9,263.6,446.1,323.1,202.5,140.2,134.9,126.4,146.2,147.6,159,146.4,145.6,138.2,129,124.4,118.4
241,447.3,506,548.3,589.5,625.9,816.7,694.4,477.3,366.5,324.7,237.8,248.7,230.9,244,299.8,329.9,389.6,398.7,426.2
121.7,147.7,203.8,226.8,274.8,380.7,214.1,150.3,157.2,160.4,161.8,154.5,146.5,137.9,130.5,126.6,120.2,120.1,150.2,152.7
175.7,182.2,219,205,198.9,182.5,165.4,181.8,143,139.1,128.6,120.7,109.8,107.3,100,100.1,104.3,104.5,99.4,88.9
