X,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
1,KLH033a_0803,ū,kūhea,462.738,secondary,209.536565,248.5199389,0
2,KLH033b_0647,u,kupuna,378.0624256,primary,79.36890194,5.793814207,0
3,KLH033d_0198,e,like,118.7479,unstressed,75.69104752,0.896239505,4
4,KLH033e_0427,o,kona,231.3467158,primary,53.3532202,18.5382226,0
5,KLH033a_0305,ai,kai,192.572,primary,51.97549409,4.005178107,0
6,KLH033b_0608,u,kūpuna,368.6686366,primary,45.6822815,3.433495682,
7,KLH033a_0418,o,noho,270.5744039,primary,43.39838359,17.90425804,0
8,KLH033d_0275,o,hoʻomaopopo,140.5531,0,42.57421297,43.48085994,1
9,KLH033a_0593,ū,kūkulu,365.0490982,secondary,40.02726986,4.139660288,0
10,KLH033b_0583,u,kula,349.6496837,primary,35.53881008,8.919195596,0
11,KLH033d_0513,a,hana,289.7972885,primary,35.49103181,39.13771273,0
12,KLH033d_0191,u,akula,116.9230885,primary,35.36183949,5.574392787,0
13,KLH033a_0516,e,like,327.7605,unstressed,35.2705614,1.307939968,1
14,KLH033e_0034,i,iā,39.32858576,unstressed,34.35131499,20.34562907,
15,KLH033d_0178,e,kope,112.7651373,unstressed,33.18363955,2.111598313,
16,KLH033a_0299,u,uka,190.2782668,primary,32.78570439,29.54890532,1
17,KLH033a_0135,o,hoʻomaopopo,118.541,0,31.07226035,34.2209257,1
18,KLH033a_0699,u,kuʻu,427.170107,primary,30.78650098,4.691398392,1
19,KLH033d_0452,o,ʻano,257.8864436,unstressed,30.33155915,25.56189532,0
20,KLH033d_0053,o,waho,68.9163,unstressed,30.04906669,30.0650288,1
21,KLH033b_0990,i,iā,559.4141715,unstressed,28.94252365,18.22066915,
22,KLH033e_0380,o,hoʻomaopopo,203.5312852,0,27.87830123,30.99754519,1
23,KLH033b_0150,o,ʻōpiopio,72.85644249,unstressed,26.32555859,22.33973949,
24,KLH033d_0276,o,hoʻomaopopo,140.6026859,0,25.83894462,25.47966761,1
25,KLH033a_0829,o,hoʻonaʻau,478.405,secondary,24.45698339,15.90400962,1
26,KLH033d_0069,o,hoʻomaopopo,76.0933,0,24.32436244,24.06612458,0
27,KLH033d_0011,a,ʻekahi,41.39391466,primary,23.78117247,5.520435482,0
28,KLH033d_0244,o,moa,134.1627881,primary,23.67172219,28.50390084,0
29,KLH033e_0423,a,ʻaʻala,229.7403257,primary,23.19006491,14.74955907,1
30,KLH033d_0079,ou,mākou,79.11622358,primary,22.93453714,23.8682825,0
31,KLH033b_0184,o,kona,87.58102556,primary,22.88946677,22.20384904,
32,KLH033b_0469,ou,lākou,271.2843941,primary,22.48928835,29.38812417,0
33,KLH033a_0043,ō,hōlualoa,71.58293212,secondary,22.1199915,10.87985969,1
34,KLH033b_0226,u,aʻu,104.5711188,unstressed,21.57356448,11.62866255,1
35,KLH033b_0276,o,hoʻomaopopo,138.6152593,unstressed,21.53013989,19.90239575,0
36,KLH033d_0232,o,ʻano,128.2386638,unstressed,21.32982916,21.03441652,0
37,KLH033a_0850,ou,keauhou,484.9007,primary,20.92662401,24.45110173,0
38,KLH033a_0814,o,kaluhiʻōpiopio,465.2876534,unstressed,20.00009227,18.4192626,
39,KLH033b_0281,o,hoʻokahi,148.9278174,unstressed,19.84542523,27.18776599,1
40,KLH033d_0514,a,hana,289.9432924,unstressed,19.52531382,11.18634107,0
41,KLH033a_0754,o,ʻōpiopio,443.7054697,unstressed,19.41515721,16.33235202,
42,KLH033d_0494,ao,palaoa,271.0856521,primary,19.39473442,4.97223552,0
43,KLH033b_0453,o,ʻokoʻa,263.4408396,unstressed,19.17976037,20.12901594,
44,KLH033b_0445,ou,hoʻoulu,254.1179071,primary,19.09931258,19.23888832,0
45,KLH033a_0319,o,kope,206.4186,primary,19.01118507,22.86740157,0
46,KLH033a_0092,a,lawe,101.926299,primary,18.6335121,12.70285911,0
47,KLH033a_0263,ou,mākou,176.3728169,primary,17.97988845,2.275262976,1
